CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
703481148,04/22/2016,20:33:00,04/22/2016,20:35:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,FRONT OF,STREET,,,962600,171205,40.636576503,-74.078006945,"(40.636576503, -74.078006945)"
992607427,04/22/2016,20:10:00,,,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,REAR OF,PARK/PLAYGROUND,,,962394,166235,40.622934398,-74.078733072,"(40.622934398, -74.078733072)"
335165870,04/22/2016,19:25:00,04/22/2016,19:30:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,,STREET,,,1018425,184633,40.673393934,-73.87680005,"(40.673393934, -73.87680005)"
678652186,04/22/2016,19:11:00,04/22/2016,19:21:00,04/22/2016,105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",ATTEMPTED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,FRONT OF,TAXI (LIVERY LICENSED),,,998593,235938,40.814267648,-73.948185286,"(40.814267648, -73.948185286)"
509127677,04/22/2016,19:05:00,04/22/2016,19:10:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,,PARK/PLAYGROUND,RIVERSIDE PARK,,988216,223566,40.780320618,-73.985681006,"(40.780320618, -73.985681006)"
120056656,04/22/2016,19:00:00,04/22/2016,19:15:00,04/22/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,78,OPPOSITE OF,STREET,,,989937,180250,40.661427708,-73.979503406,"(40.661427708, -73.979503406)"
438570740,04/22/2016,19:00:00,,,04/22/2016,105,ROBBERY,366,"ROBBERY,BICYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,,PARK/PLAYGROUND,FORT TRYON PARK,,1002173,249401,40.851213168,-73.935216052,"(40.851213168, -73.935216052)"
320972062,04/22/2016,18:55:00,04/22/2016,18:57:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,FRONT OF,OTHER,,,1018418,242268,40.831587261,-73.876532434,"(40.831587261, -73.876532434)"
807221323,04/22/2016,18:20:00,,,04/22/2016,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BRONX,42,INSIDE,BEAUTY & NAIL SALON,,,1015924,244102,40.836630355,-73.885536048,"(40.836630355, -73.885536048)"
143722530,04/22/2016,18:09:00,04/22/2016,18:11:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,109,FRONT OF,STREET,,,1025280,225594,40.785792593,-73.851837957,"(40.785792593, -73.851837957)"
577147720,04/22/2016,17:00:00,04/22/2016,17:20:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,OPPOSITE OF,STREET,,,1010612,178513,40.656622611,-73.904989937,"(40.656622611, -73.904989937)"
993999630,04/22/2016,16:10:00,04/22/2016,16:25:00,04/22/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,,BUS (NYC TRANSIT),,,963118,173157,40.641935575,-74.076146692,"(40.641935575, -74.076146692)"
784199777,04/22/2016,15:50:00,04/22/2016,16:05:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,FRONT OF,STREET,,,1014040,172090,40.638982008,-73.89266343,"(40.638982008, -73.89266343)"
579806467,04/22/2016,15:45:00,04/22/2016,17:05:00,04/22/2016,105,ROBBERY,392,"ROBBERY,UNLICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,OPPOSITE OF,STREET,,,1036462,194294,40.699823108,-73.811701691,"(40.699823108, -73.811701691)"
447926327,04/22/2016,14:40:00,04/22/2016,14:53:00,04/22/2016,105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,84,FRONT OF,TAXI (LIVERY LICENSED),,,987424,190923,40.690723948,-73.988556157,"(40.690723948, -73.988556157)"
281690704,04/22/2016,14:20:00,04/22/2016,14:30:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,MANHATTAN,25,,STREET,,,1001575,232339,40.804384046,-73.937421669,"(40.804384046, -73.937421669)"
396662326,04/22/2016,14:10:00,,,04/22/2016,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,121,INSIDE,CHAIN STORE,,,947029,167436,40.626179658,-74.134088798,"(40.626179658, -74.134088798)"
909276777,04/22/2016,13:00:00,04/22/2016,13:10:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,,PARK/PLAYGROUND,MADISON SQUARE PARK,,987263,209373,40.741364845,-73.98912846,"(40.741364845, -73.98912846)"
304757310,04/22/2016,12:40:00,04/22/2016,13:00:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,,STREET,,,1001960,176630,40.651475718,-73.936177614,"(40.651475718, -73.936177614)"
409505906,04/22/2016,09:30:00,04/22/2016,09:40:00,04/22/2016,105,ROBBERY,398,"ROBBERY,PUBLIC PLACE INSIDE",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,26,,TRANSIT - NYC SUBWAY,,,998163,237272,40.817929792,-73.949735957,"(40.817929792, -73.949735957)"
856278813,04/22/2016,09:10:00,04/22/2016,09:20:00,04/22/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,6,,PARK/PLAYGROUND,WASHINGTON SQUARE PARK,,985480,205496,40.730723863,-73.995563465,"(40.730723863, -73.995563465)"
568451524,04/22/2016,08:30:00,04/22/2016,08:41:00,04/22/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,INSIDE,RESIDENCE - APT. HOUSE,,,1001856,193160,40.696847054,-73.936509237,"(40.696847054, -73.936509237)"
312062838,04/22/2016,07:30:00,04/22/2016,09:40:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,42,FRONT OF,STREET,,,1013630,241333,40.82903818,-73.893838362,"(40.82903818, -73.893838362)"
263423226,04/22/2016,05:50:00,,,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,,OTHER,,,1022052,242245,40.831509327,-73.863400811,"(40.831509327, -73.863400811)"
713193121,04/22/2016,04:55:00,04/22/2016,05:00:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,108,,STREET,,,1008502,203155,40.72426523,-73.912505895,"(40.72426523, -73.912505895)"
805992429,04/22/2016,04:50:00,04/22/2016,04:55:00,04/22/2016,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1005755,234896,40.811393119,-73.922314872,"(40.811393119, -73.922314872)"
692259332,04/22/2016,04:40:00,04/22/2016,04:45:00,04/22/2016,105,ROBBERY,383,"ROBBERY,DELIVERY PERSON",ATTEMPTED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,,STREET,,,993999,213731,40.753321602,-73.964813998,"(40.753321602, -73.964813998)"
919581162,04/22/2016,04:15:00,04/22/2016,04:20:00,04/22/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,STREET,,,1001891,247864,40.846995125,-73.936239426,"(40.846995125, -73.936239426)"
726679866,04/22/2016,04:00:00,04/22/2016,04:05:00,04/22/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,1005165,254563,40.865374728,-73.924384912,"(40.865374728, -73.924384912)"
