INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC
2013516160.0,2013516160521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2013-10-26 03:40:00,2013-10-26 03:49:59,2013-10-28 15:49:59,951 N ELATI ST,3142169.0,1691669.0,-104.9945199,39.731349,1,123,lincoln-park,1,0
2014121001.0,2014121001521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-03-09 03:30:00,2014-03-09 03:49:59,2014-03-09 12:23:00,1600 BLK N VERBENA ST,3171297.0,1696169.0,-104.8908512,39.7432117,2,223,east-colfax,1,0
2014196699.0,2014196699521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-04-19 00:30:00,,2014-04-19 01:18:00,E 36TH AVE / N HIGH ST,3150473.0,1704689.0,-104.964723,39.7669605,2,211,cole,1,0
2014468223.0,2014468223521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-09-04 21:04:59,2014-09-04 21:15:59,2014-09-04 21:15:59,E MAXWELL PL / N MEMPHIS ST,3197750.0,1715420.0,-104.796255,39.7955334,5,513,gateway-green-valley-ranch,1,0
2014325983.0,2014325983521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-06-25 17:36:59,,2014-06-25 19:57:59,1500 BLK S JERSEY ST,3163321.0,1675897.0,-104.9196743,39.6877046,3,322,virginia-village,1,0
2014462345.0,2014462345521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-09-01 21:31:59,,2014-09-01 21:59:59,1100 S RALEIGH ST,3128814.0,1678933.0,-105.0422308,39.6965804,4,421,mar-lee,1,0
2014493785.0,2014493785521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-09-18 04:44:59,2014-09-18 04:50:00,2014-09-18 05:10:00,8300 BLOCK E COLFAX AVE,3171157.0,1694939.0,-104.8913783,39.7398378,2,223,east-colfax,1,0
2014371396.0,2014371396521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-07-18 02:00:00,2014-07-18 02:00:00,2014-07-18 03:04:00,1000 BLK N BROADWAY ST,3144274.0,1692036.0,-104.9870284,39.7323241,6,623,capitol-hill,1,0
2014344301.0,2014344301521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-07-04 17:39:59,,2014-07-04 19:09:59,3600 BLK N VINE ST,3151082.0,1704925.0,-104.9625517,39.7675985,2,211,cole,1,0
2014349848.0,2014349848521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,2014-07-07 05:29:59,2014-07-07 06:40:00,2014-07-07 14:35:00,1200 S ONEIDA ST,3166599.0,1678838.0,-104.9079589,39.6957202,3,322,washington-virginia-vale,1,0
